Location,Sex,Age,Mean/Expected_Mortality,Mortality,Excess_mortality,STANDARD_DEVIATION,Z-Score(95%),SIGNIFICANT,Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Blagoevgrad,Female,(0-4),2.0,0,-2.0,2.7,-0.7,Not Significant,5.2,-3.2,7.2,-100.0,0.0,2.0 (±5.2),-2.0 (±5.2),-100.0% (±0.0%)
Blagoevgrad,Female,(10-14),0.0,0,0.0,0.0,,Undetermined,0.0,0.0,0.0,0.0,,0.0 (±0.0),0.0 (±0.0),0.0% (±nan%)
Blagoevgrad,Female,(15-19),-0.8,2,2.8,2.1,1.3,Not Significant,4.1,-4.9,3.3,-350.0,-310.6,-0.8 (±4.1),2.8 (±4.1),-350.0% (±-310.6%)
Blagoevgrad,Female,(20-24),0.7,1,0.3,0.9,0.3,Not Significant,1.7,-1.0,2.4,42.9,101.2,0.7 (±1.7),0.3 (±1.7),42.9% (±101.2%)
Blagoevgrad,Female,(25-29),2.0,2,0.0,1.9,0.0,Not Significant,3.8,-1.8,5.8,0.0,65.5,2.0 (±3.8),0.0 (±3.8),0.0% (±65.5%)
Blagoevgrad,Female,(30-34),0.3,1,0.7,2.5,0.3,Not Significant,4.9,-4.6,5.2,233.3,314.1,0.3 (±4.9),0.7 (±4.9),233.3% (±314.1%)
Blagoevgrad,Female,(35-39),3.6,5,1.4,4.0,0.4,Not Significant,7.8,-4.2,11.4,38.9,95.0,3.6 (±7.8),1.4 (±7.8),38.9% (±95.0%)
Blagoevgrad,Female,(40-44),1.5,2,0.5,3.9,0.1,Not Significant,7.6,-6.1,9.1,33.3,111.3,1.5 (±7.6),0.5 (±7.6),33.3% (±111.3%)
Blagoevgrad,Female,(45-49),5.4,13,7.6,5.4,1.4,Not Significant,10.6,-5.2,16.0,140.7,159.5,5.4 (±10.6),7.6 (±10.6),140.7% (±159.5%)
Blagoevgrad,Female,(5-9),-0.9,1,1.9,1.5,1.3,Not Significant,2.9,-3.8,2.0,-211.1,-161.1,-0.9 (±2.9),1.9 (±2.9),-211.1% (±-161.1%)
Blagoevgrad,Female,(50-54),23.7,20,-3.7,8.4,-0.4,Not Significant,16.4,7.3,40.1,-15.6,34.5,23.7 (±16.4),-3.7 (±16.4),-15.6% (±34.5%)
Blagoevgrad,Female,(55-59),26.7,22,-4.7,8.8,-0.5,Not Significant,17.2,9.5,43.9,-17.6,32.3,26.7 (±17.2),-4.7 (±17.2),-17.6% (±32.3%)
Blagoevgrad,Female,(60-64),38.5,49,10.5,11.1,0.9,Not Significant,21.7,16.8,60.2,27.3,45.9,38.5 (±21.7),10.5 (±21.7),27.3% (±45.9%)
Blagoevgrad,Female,(65-69),55.1,64,8.9,14.1,0.6,Not Significant,27.6,27.5,82.7,16.2,38.8,55.1 (±27.6),8.9 (±27.6),16.2% (±38.8%)
Blagoevgrad,Female,(70-74),67.9,109,41.1,14.8,2.8,Significant Increase,29.0,38.9,96.9,60.5,48.0,67.9 (±29.0),41.1 (±29.0),60.5% (±48.0%)
Blagoevgrad,Female,(75-79),75.7,125,49.3,21.3,2.3,Significant Increase,41.8,33.9,117.5,65.1,58.7,75.7 (±41.8),49.3 (±41.8),65.1% (±58.7%)
Blagoevgrad,Female,(80-84),130.4,170,39.6,28.6,1.4,Not Significant,56.0,74.4,186.4,30.4,39.2,130.4 (±56.0),39.6 (±56.0),30.4% (±39.2%)
Blagoevgrad,Female,(85-89),148.6,170,21.4,22.6,0.9,Not Significant,44.3,104.3,192.9,14.4,26.3,148.6 (±44.3),21.4 (±44.3),14.4% (±26.3%)
Blagoevgrad,Female,(90+),99.5,86,-13.5,19.7,-0.7,Not Significant,38.7,60.8,138.2,-13.6,24.2,99.5 (±38.7),-13.5 (±38.7),-13.6% (±24.2%)
Blagoevgrad,Male,(0-4),-0.7,0,0.7,4.1,0.2,Not Significant,8.0,-8.7,7.3,-100.0,0.0,-0.7 (±8.0),0.7 (±8.0),-100.0% (±0.0%)
Blagoevgrad,Male,(10-14),2.3,0,-2.3,1.7,-1.3,Not Significant,3.4,-1.1,5.7,-100.0,0.0,2.3 (±3.4),-2.3 (±3.4),-100.0% (±0.0%)
Blagoevgrad,Male,(15-19),-0.8,0,0.8,0.9,0.9,Not Significant,1.7,-2.5,0.9,-100.0,0.0,-0.8 (±1.7),0.8 (±1.7),-100.0% (±0.0%)
Blagoevgrad,Male,(20-24),-2.2,4,6.2,3.0,2.1,Significant Increase,5.8,-8.0,3.6,-281.8,-292.9,-2.2 (±5.8),6.2 (±5.8),-281.8% (±-292.9%)
Blagoevgrad,Male,(25-29),4.3,0,-4.3,3.1,-1.4,Not Significant,6.1,-1.8,10.4,-100.0,0.0,4.3 (±6.1),-4.3 (±6.1),-100.0% (±0.0%)
Blagoevgrad,Male,(30-34),4.5,3,-1.5,4.2,-0.4,Not Significant,8.2,-3.7,12.7,-33.3,43.1,4.5 (±8.2),-1.5 (±8.2),-33.3% (±43.1%)
Blagoevgrad,Male,(35-39),10.8,12,1.2,4.4,0.3,Not Significant,8.7,2.1,19.5,11.1,49.6,10.8 (±8.7),1.2 (±8.7),11.1% (±49.6%)
Blagoevgrad,Male,(40-44),13.0,17,4.0,7.6,0.5,Not Significant,14.9,-1.9,27.9,30.8,69.9,13.0 (±14.9),4.0 (±14.9),30.8% (±69.9%)
Blagoevgrad,Male,(45-49),31.6,19,-12.6,10.6,-1.2,Not Significant,20.8,10.8,52.4,-39.9,23.8,31.6 (±20.8),-12.6 (±20.8),-39.9% (±23.8%)
Blagoevgrad,Male,(5-9),1.8,0,-1.8,1.7,-1.0,Not Significant,3.4,-1.6,5.2,-100.0,0.0,1.8 (±3.4),-1.8 (±3.4),-100.0% (±0.0%)
