Sex,Location,SIGNIFICANT,Excess_mortality,Conf_interval,PYLL_mean,PYLL_fluctuation,PYLL_average_mean,AVG_PYLL_fluctuation,Population,PYLL_STD_MEAN,PYLL_STD_FLUC,PYLL_mean ±,PYLL_average_mean ±,PYLL_STD_MEAN ±
Female,Blagoevgrad,Significant Increase,708.4,344.4,9442.8,4836.1,13.33,0.23,155463.0,6074.0,3110.772,9442.8 (±4836.1),13.33 (±0.23),6074.0 (±3110.772)
Female,Burgas,Significant Increase,841.0,384.3,11745.8,5828.0,13.97,0.37,211475.0,5554.2,2755.881,11745.8 (±5828.0),13.97 (±0.37),5554.2 (±2755.881)
Female,Dobrich,Significant Increase,362.4,190.60000000000002,6111.6,3296.7,16.86,0.15,88431.0,6911.2,3727.991,6111.6 (±3296.7),16.86 (±0.15),6911.2 (±3727.991)
Female,Gabrovo,Significant Increase,392.0,206.9,4352.9,2408.9,11.1,0.19,55300.0,7871.4,4356.058,4352.9 (±2408.9),11.1 (±0.19),7871.4 (±4356.058)
Female,Haskovo,Significant Increase,698.2,354.3,9629.1,5054.1,13.79,0.16,115346.0,8348.0,4381.686,9629.1 (±5054.1),13.79 (±0.16),8348.0 (±4381.686)
Female,Kardzhali,Significant Increase,405.0,240.8,5837.799999999999,3366.8,14.41,0.16,80102.0,7288.0,4203.141,5837.8 (±3366.8),14.41 (±0.16),7288.0 (±4203.141)
Female,Kyustendil,Significant Increase,416.6,217.8,6538.5,3566.7999999999997,15.69,0.24,59993.0,10898.8,5945.36,6538.5 (±3566.8),15.69 (±0.24),10898.8 (±5945.36)
Female,Lovech,Significant Increase,226.6,155.2,2456.0,1709.3999999999999,10.84,0.07,62888.0,3905.4,2718.166,2456.0 (±1709.4),10.84 (±0.07),3905.4 (±2718.166)
Female,Montana,Significant Increase,392.0,230.2,4004.1,2224.9,10.21,0.2,64880.0,6171.5,3429.254,4004.1 (±2224.9),10.21 (±0.2),6171.5 (±3429.254)
Female,Pazardzhik,Significant Increase,720.8,331.9,8632.5,4127.7,11.98,0.14,129061.0,6688.7,3198.255,8632.5 (±4127.7),11.98 (±0.14),6688.7 (±3198.255)
Female,Pernik,Significant Increase,405.4,250.0,3968.0,2518.6,9.79,0.11,61258.0,6477.5,4111.463,3968.0 (±2518.6),9.79 (±0.11),6477.5 (±4111.463)
Female,Pleven,Significant Increase,751.8,404.7,7936.099999999999,4424.0,10.56,0.13,121576.0,6527.7,3638.876,7936.1 (±4424.0),10.56 (±0.13),6527.7 (±3638.876)
Female,Plovdiv,Significant Increase,1999.6,667.1,24553.100000000002,8969.8,12.28,0.29,346665.0,7082.7,2587.455,24553.1 (±8969.8),12.28 (±0.29),7082.7 (±2587.455)
Female,Razgrad,Significant Increase,395.2,212.2,5939.3,3128.0,15.03,0.1,56777.0,10460.7,5509.273,5939.3 (±3128.0),15.03 (±0.1),10460.7 (±5509.273)
Female,Ruse,Significant Increase,817.0,353.3,10676.1,4802.2,13.07,0.16,110451.0,9665.9,4347.81,10676.1 (±4802.2),13.07 (±0.16),9665.9 (±4347.81)
Female,Shumen,Significant Increase,543.2,271.0,7081.3,3395.9,13.04,0.17,88340.0,8016.0,3844.125,7081.3 (±3395.9),13.04 (±0.17),8016.0 (±3844.125)
Female,Silistra,Significant Increase,397.4,219.9,6392.2,3709.1,16.09,0.27,55280.0,11563.3,6709.66,6392.2 (±3709.1),16.09 (±0.27),11563.3 (±6709.66)
Female,Sliven,Significant Increase,426.2,256.5,5019.4,2926.5,11.78,0.14,94697.0,5300.5,3090.383,5019.4 (±2926.5),11.78 (±0.14),5300.5 (±3090.383)
Female,Smolyan,Significant Increase,262.8,137.8,3643.2,1904.0,13.86,0.01,53602.0,6796.8,3552.106,3643.2 (±1904.0),13.86 (±0.01),6796.8 (±3552.106)
Female,Sofia,Significant Increase,775.1999999999999,387.4,9187.3,4252.6,11.85,0.29,115422.0,7959.7,3684.393,9187.3 (±4252.6),11.85 (±0.29),7959.7 (±3684.393)
Female,Sofia (stolitsa),Significant Increase,2895.4,890.4,35512.1,12018.5,12.27,0.28,691325.0,5136.8,1738.473,35512.1 (±12018.5),12.27 (±0.28),5136.8 (±1738.473)
