Sex,Location,SIGNIFICANT,Excess_mortality,Conf_interval,WYLL_mean,WYLL_fluctuation,WYLL_average_mean,Population,WYLL_STD_MEAN,WYLL_STD_FLUC,WYLL_mean ±,WYLL_average_mean ±,WYLL_STD_MEAN ±
Female,Blagoevgrad,Significant Increase,103.2,70.5,886.0,0.2,8.59,155463.0,569.9,0.129,886.0 (±0.2),8.59 (±0.2),569.9 (±0.129)
Female,Burgas,Significant Increase,85.2,58.099999999999994,794.0,0.07,9.32,211475.0,375.5,0.033,794.0 (±0.1),9.32 (±0.07),375.5 (±0.033)
Female,Dobrich,Significant Increase,109.0,64.3,737.5,0.32,6.77,88431.0,834.0,0.362,737.5 (±0.3),6.77 (±0.32),834.0 (±0.362)
Female,Gabrovo,Significant Increase,33.2,18.9,349.0,0.49,10.51,55300.0,631.1,0.886,349.0 (±0.5),10.51 (±0.49),631.1 (±0.886)
Female,Haskovo,Significant Increase,94.2,75.5,1031.5,0.07,10.95,115346.0,894.3,0.061,1031.5 (±0.1),10.95 (±0.07),894.3 (±0.061)
Female,Kardzhali,Significant Increase,78.60000000000001,47.1,564.5,0.18,7.18,80102.0,704.7,0.225,564.5 (±0.2),7.18 (±0.18),704.7 (±0.225)
Female,Kyustendil,Significant Increase,70.4,52.599999999999994,826.0,0.51,11.73,59993.0,1376.8,0.85,826.0 (±0.5),11.73 (±0.51),1376.8 (±0.85)
Female,Lovech,Significant Increase,14.6,13.9,182.5,0.0,12.5,62888.0,290.2,0.0,182.5 (±0.0),12.5 (±0.0),290.2 (±0.0)
Female,Montana,Significant Increase,41.0,26.9,102.5,0.0,2.5,64880.0,158.0,0.0,102.5 (±0.0),2.5 (±0.0),158.0 (±0.0)
Female,Pazardzhik,Significant Increase,70.2,47.4,719.5,0.24,10.25,129061.0,557.5,0.186,719.5 (±0.2),10.25 (±0.24),557.5 (±0.186)
Female,Pernik,Significant Increase,36.0,30.1,250.0,0.13,6.94,61258.0,408.1,0.212,250.0 (±0.1),6.94 (±0.13),408.1 (±0.212)
Female,Pleven,Significant Increase,59.4,47.3,457.5,0.07,7.7,121576.0,376.3,0.058,457.5 (±0.1),7.7 (±0.07),376.3 (±0.058)
Female,Plovdiv,Significant Increase,272.79999999999995,127.1,2453.0,1.1,8.99,346665.0,707.6,0.317,2453.0 (±1.1),8.99 (±1.1),707.6 (±0.317)
Female,Razgrad,Significant Increase,105.4,54.900000000000006,687.5,0.03,6.52,56777.0,1210.9,0.053,687.5 (±0.0),6.52 (±0.03),1210.9 (±0.053)
Female,Ruse,Significant Increase,109.2,76.4,902.0,0.14,8.26,110451.0,816.7,0.127,902.0 (±0.1),8.26 (±0.14),816.7 (±0.127)
Female,Shumen,Significant Increase,76.4,41.4,631.0,0.23,8.26,88340.0,714.3,0.26,631.0 (±0.2),8.26 (±0.23),714.3 (±0.26)
