Sex,Location,SIGNIFICANT,Excess_mortality,Conf_interval,PYLL_mean,PYLL_fluctuation,PYLL_average_mean,AVG_PYLL_fluctuation,Population,PYLL_STD_MEAN,PYLL_STD_FLUC,PYLL_mean ±,PYLL_average_mean ±,PYLL_STD_MEAN ±
Female,Blagoevgrad,Significant Increase,347.7,209.7,5090.4,3204.7,14.64,0.24,155463.0,3274.3,2061.391,5090.4 (±3204.7),14.64 (±0.24),3274.3 (±2061.391)
Female,Burgas,Significant Increase,220.2,139.1,3812.2000000000003,2534.7000000000003,17.31,0.35,211475.0,1802.7,1198.581,3812.2 (±2534.7),17.31 (±0.35),1802.7 (±1198.581)
Female,Dobrich,Significant Increase,131.6,113.8,2537.2,2100.8,19.28,0.38,88431.0,2869.1,2375.638,2537.2 (±2100.8),19.28 (±0.38),2869.1 (±2375.638)
Female,Gabrovo,Significant Increase,97.2,55.10000000000001,1139.3,644.6,11.72,0.01,55300.0,2060.2,1165.642,1139.3 (±644.6),11.72 (±0.01),2060.2 (±1165.642)
Female,Haskovo,Significant Increase,285.1,175.6,3780.4,2481.7999999999997,13.26,0.33,115346.0,3277.4,2151.613,3780.4 (±2481.8),13.26 (±0.33),3277.4 (±2151.613)
Female,Kardzhali,Significant Increase,38.2,38.1,775.2,772.9000000000001,20.29,0.0,80102.0,967.8,964.895,775.2 (±772.9),20.29 (±0.0),967.8 (±964.895)
Female,Kyustendil,Significant Increase,93.6,71.7,1618.4,1242.0,17.29,0.01,59993.0,2697.6,2070.242,1618.4 (±1242.0),17.29 (±0.01),2697.6 (±2070.242)
Female,Lovech,Significant Increase,66.4,64.5,662.6,644.8,9.98,0.01,62888.0,1053.6,1025.315,662.6 (±644.8),9.98 (±0.01),1053.6 (±1025.315)
Female,Montana,Significant Increase,59.400000000000006,41.8,964.5,727.7,16.24,0.48,64880.0,1486.6,1121.609,964.5 (±727.7),16.24 (±0.48),1486.6 (±1121.609)
Female,Pazardzhik,Significant Increase,325.7,185.20000000000002,4482.7,2581.2,13.76,0.07,129061.0,3473.3,1999.985,4482.7 (±2581.2),13.76 (±0.07),3473.3 (±1999.985)
Female,Pernik,Significant Increase,61.2,49.0,910.5,721.5,14.88,0.07,61258.0,1486.3,1177.805,910.5 (±721.5),14.88 (±0.07),1486.3 (±1177.805)
Female,Plovdiv,Significant Increase,899.3,495.6,10834.7,6143.6,12.05,0.12,346665.0,3125.4,1772.201,10834.7 (±6143.6),12.05 (±0.12),3125.4 (±1772.201)
Female,Razgrad,Significant Increase,213.9,111.6,2335.7,1248.6,10.92,0.09,56777.0,4113.8,2199.13,2335.7 (±1248.6),10.92 (±0.09),4113.8 (±2199.13)
Female,Ruse,Significant Increase,236.60000000000002,135.0,2479.6,1258.0,10.48,0.42,110451.0,2245.0,1138.967,2479.6 (±1258.0),10.48 (±0.42),2245.0 (±1138.967)
Female,Shumen,Significant Increase,187.9,133.1,2634.2,1904.8999999999999,14.02,0.12,88340.0,2981.9,2156.328,2634.2 (±1904.9),14.02 (±0.12),2981.9 (±2156.328)
Female,Silistra,Significant Increase,118.5,89.6,2063.1,1613.9,17.41,0.26,55280.0,3732.1,2919.501,2063.1 (±1613.9),17.41 (±0.26),3732.1 (±2919.501)
Female,Sliven,Significant Increase,243.6,156.4,2800.5,1658.4,11.5,0.35,94697.0,2957.3,1751.27,2800.5 (±1658.4),11.5 (±0.35),2957.3 (±1751.27)
Female,Smolyan,Significant Increase,183.3,140.0,2146.2,1594.7,11.71,0.14,53602.0,4004.0,2975.076,2146.2 (±1594.7),11.71 (±0.14),4004.0 (±2975.076)
Female,Sofia,Significant Increase,202.89999999999998,153.7,2547.6,1921.1,12.56,0.03,115422.0,2207.2,1664.414,2547.6 (±1921.1),12.56 (±0.03),2207.2 (±1664.414)
Female,Sofia (stolitsa),Significant Increase,666.2,406.29999999999995,7147.3,4517.6,10.73,0.15,691325.0,1033.9,653.47,7147.3 (±4517.6),10.73 (±0.15),1033.9 (±653.47)
