Location,Sex,Age,Mean/Expected_Mortality,Mortality,Excess_mortality,STANDARD_DEVIATION,Z-Score(95%),SIGNIFICANT,Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Blagoevgrad,Female,(0-4),7.0,2,-5.0,4.7,-1.1,Not Significant,9.3,-2.3,16.3,-71.4,16.3,7.0 (±9.3),-5.0 (±9.3),-71.4% (±16.3%)
Blagoevgrad,Female,(10-14),0.2,0,-0.2,1.3,-0.2,Not Significant,2.5,-2.3,2.7,-100.0,0.0,0.2 (±2.5),-0.2 (±2.5),-100.0% (±0.0%)
Blagoevgrad,Female,(15-19),0.2,1,0.8,2.2,0.4,Not Significant,4.4,-4.2,4.6,400.0,478.3,0.2 (±4.4),0.8 (±4.4),400.0% (±478.3%)
Blagoevgrad,Female,(20-24),0.8,5,4.2,1.7,2.5,Significant Increase,3.3,-2.5,4.1,525.0,503.0,0.8 (±3.3),4.2 (±3.3),525.0% (±503.0%)
Blagoevgrad,Female,(25-29),4.8,4,-0.8,3.0,-0.3,Not Significant,5.9,-1.1,10.7,-16.7,45.9,4.8 (±5.9),-0.8 (±5.9),-16.7% (±45.9%)
Blagoevgrad,Female,(30-34),4.6,3,-1.6,4.2,-0.4,Not Significant,8.3,-3.7,12.9,-34.8,41.9,4.6 (±8.3),-1.6 (±8.3),-34.8% (±41.9%)
Blagoevgrad,Female,(35-39),2.4,9,6.6,5.1,1.3,Not Significant,10.0,-7.6,12.4,275.0,302.4,2.4 (±10.0),6.6 (±10.0),275.0% (±302.4%)
Blagoevgrad,Female,(40-44),4.0,18,14.0,5.4,2.6,Significant Increase,10.6,-6.6,14.6,350.0,326.7,4.0 (±10.6),14.0 (±10.6),350.0% (±326.7%)
Blagoevgrad,Female,(45-49),21.0,35,14.0,8.4,1.7,Not Significant,16.4,4.6,37.4,66.7,73.1,21.0 (±16.4),14.0 (±16.4),66.7% (±73.1%)
Blagoevgrad,Female,(5-9),-0.8,0,0.8,1.5,0.5,Not Significant,2.9,-3.7,2.1,-100.0,0.0,-0.8 (±2.9),0.8 (±2.9),-100.0% (±0.0%)
Blagoevgrad,Female,(50-54),53.4,59,5.6,10.7,0.5,Not Significant,20.9,32.5,74.3,10.5,31.1,53.4 (±20.9),5.6 (±20.9),10.5% (±31.1%)
Blagoevgrad,Female,(55-59),74.0,110,36.0,12.3,2.9,Significant Increase,24.2,49.8,98.2,48.6,36.6,74.0 (±24.2),36.0 (±24.2),48.6% (±36.6%)
Blagoevgrad,Female,(60-64),96.0,145,49.0,16.5,3.0,Significant Increase,32.4,63.6,128.4,51.0,38.1,96.0 (±32.4),49.0 (±32.4),51.0% (±38.1%)
Blagoevgrad,Female,(65-69),132.2,228,95.8,19.9,4.8,Significant Increase,39.1,93.1,171.3,72.5,39.4,132.2 (±39.1),95.8 (±39.1),72.5% (±39.4%)
Blagoevgrad,Female,(70-74),192.2,307,114.8,21.8,5.3,Significant Increase,42.7,149.5,234.9,59.7,29.0,192.2 (±42.7),114.8 (±42.7),59.7% (±29.0%)
Blagoevgrad,Female,(75-79),278.8,427,148.2,30.6,4.8,Significant Increase,59.9,218.9,338.7,53.2,27.1,278.8 (±59.9),148.2 (±59.9),53.2% (±27.1%)
Blagoevgrad,Female,(80-84),404.6,523,118.4,36.0,3.3,Significant Increase,70.6,334.0,475.2,29.3,19.2,404.6 (±70.6),118.4 (±70.6),29.3% (±19.2%)
Blagoevgrad,Female,(85-89),410.0,538,128.0,31.4,4.1,Significant Increase,61.6,348.4,471.6,31.2,17.1,410.0 (±61.6),128.0 (±61.6),31.2% (±17.1%)
Blagoevgrad,Female,(90+),246.4,284,37.6,26.5,1.4,Not Significant,52.0,194.4,298.4,15.3,20.1,246.4 (±52.0),37.6 (±52.0),15.3% (±20.1%)
Blagoevgrad,Male,(0-4),-0.6,7,7.6,4.8,1.6,Not Significant,9.4,-10.0,8.8,-1266.7,-1246.2,-0.6 (±9.4),7.6 (±9.4),-1266.7% (±-1246.2%)
